,Charging Current (A),Actual Pilot (A),Voltage (V),Charging State,Energy Delivered (kWh),Power (kW)
2020-08-29T14:01:38+00:00,0.0,30.0,210.3,READY,0.0,0.0
2020-08-29T14:01:42+00:00,0.3,8.0,210.3,READY,3.33333333333e-06,0.002
2020-08-29T14:01:46+00:00,1.1,8.0,210.2,ADAPTIVE,1.08333333333e-05,0.024
2020-08-29T14:01:50+00:00,5.3,8.0,209.7,ADAPTIVE,0.000301666666667,1.119
2020-08-29T14:01:53+00:00,7.9,8.0,209.3,ADAPTIVE,0.00205777777778,1.65
2020-08-29T14:01:57+00:00,7.9,8.0,209.4,ADAPTIVE,0.0038597222222199997,1.652
2020-08-29T14:02:01+00:00,7.9,8.0,209.1,ADAPTIVE,0.00566916666667,1.648
2020-08-29T14:02:05+00:00,7.9,8.0,209.1,ADAPTIVE,0.00747055555556,1.655
2020-08-29T14:02:09+00:00,7.9,8.0,209.1,ADAPTIVE,0.00928,1.658
2020-08-29T14:02:13+00:00,7.9,8.0,209.3,ADAPTIVE,0.011082222222199999,1.658
2020-08-29T14:02:17+00:00,7.9,8.0,209.2,ADAPTIVE,0.012884999999999999,1.653
2020-08-29T14:02:21+00:00,7.8,8.0,209.2,ADAPTIVE,0.0146947222222,1.646
2020-08-29T14:02:25+00:00,7.8,8.0,209.4,ADAPTIVE,0.016497222222199997,1.647
2020-08-29T14:02:29+00:00,7.9,8.0,209.4,ADAPTIVE,0.018306944444399998,1.652
2020-08-29T14:02:33+00:00,7.9,8.0,209.2,ADAPTIVE,0.0201094444444,1.654
2020-08-29T14:02:37+00:00,7.8,8.0,209.3,ADAPTIVE,0.021919166666699998,1.648
2020-08-29T14:02:41+00:00,7.9,32.0,209.3,ADAPTIVE,0.0237216666667,1.6689999999999998
2020-08-29T14:02:45+00:00,15.6,32.0,207.9,ADAPTIVE,0.026717222222199997,3.267
2020-08-29T14:02:49+00:00,15.8,32.0,207.8,ADAPTIVE,0.0303283333333,3.298
2020-08-29T14:02:53+00:00,25.9,32.0,206.5,ADAPTIVE,0.0346363888889,5.359999999999999
2020-08-29T14:02:56+00:00,31.4,32.0,205.7,ADAPTIVE,0.0414061111111,6.468999999999999
2020-08-29T14:03:00+00:00,31.2,32.0,205.9,ADAPTIVE,0.048242222222199996,6.415
2020-08-29T14:03:04+00:00,31.2,32.0,205.4,ADAPTIVE,0.055243611111099995,6.436999999999999
2020-08-29T14:03:08+00:00,31.1,32.0,205.4,ADAPTIVE,0.062220833333299995,6.404
2020-08-29T14:03:12+00:00,31.1,32.0,205.8,ADAPTIVE,0.0692263888889,6.414
2020-08-29T14:03:16+00:00,31.2,32.0,205.5,ADAPTIVE,0.0762033333333,6.412999999999999
2020-08-29T14:03:20+00:00,31.1,32.0,205.7,ADAPTIVE,0.0832061111111,6.420999999999999
2020-08-29T14:03:24+00:00,31.3,32.0,205.8,ADAPTIVE,0.09017638888889999,6.452
2020-08-29T14:03:28+00:00,31.4,32.0,205.8,ADAPTIVE,0.0971808333333,6.459
2020-08-29T14:03:32+00:00,31.3,32.0,205.9,ADAPTIVE,0.10418972222199999,6.465999999999999
2020-08-29T14:03:36+00:00,31.4,32.0,205.6,ADAPTIVE,0.11123138888899999,6.476
2020-08-29T14:03:40+00:00,31.4,32.0,205.8,ADAPTIVE,0.118243611111,6.483
2020-08-29T14:03:44+00:00,31.4,32.0,206.1,ADAPTIVE,0.1252875,6.468
2020-08-29T14:03:48+00:00,31.0,32.0,205.7,ADAPTIVE,0.13226444444399998,6.393
2020-08-29T14:03:52+00:00,31.2,32.0,205.6,ADAPTIVE,0.139265555556,6.435
2020-08-29T14:03:56+00:00,31.1,32.0,205.7,ADAPTIVE,0.14623916666700001,6.406
2020-08-29T14:04:00+00:00,31.1,32.0,205.7,ADAPTIVE,0.153238611111,6.409
2020-08-29T14:04:03+00:00,31.4,32.0,205.7,ADAPTIVE,0.160231666667,6.463
2020-08-29T14:04:07+00:00,31.4,32.0,205.8,ADAPTIVE,0.167273888889,6.4719999999999995
2020-08-29T14:04:11+00:00,31.3,32.0,205.6,ADAPTIVE,0.17431638888899997,6.452999999999999
2020-08-29T14:04:15+00:00,31.3,32.0,205.6,ADAPTIVE,0.181323611111,6.4479999999999995
2020-08-29T14:04:19+00:00,31.1,32.0,205.7,ADAPTIVE,0.188343888889,6.4079999999999995
2020-08-29T14:04:23+00:00,31.3,32.0,205.5,ADAPTIVE,0.195311666667,6.444999999999999
2020-08-29T14:04:27+00:00,31.4,32.0,205.6,ADAPTIVE,0.202314166667,6.4719999999999995
2020-08-29T14:04:31+00:00,31.3,32.0,205.9,ADAPTIVE,0.20929,6.444999999999999
2020-08-29T14:04:35+00:00,31.4,32.0,205.5,ADAPTIVE,0.216295,6.468999999999999
2020-08-29T14:04:39+00:00,31.2,32.0,205.6,ADAPTIVE,0.22327277777799998,6.414
2020-08-29T14:04:43+00:00,31.2,32.0,205.8,ADAPTIVE,0.230276944444,6.428
2020-08-29T14:04:47+00:00,31.4,32.0,205.8,ADAPTIVE,0.237286666667,6.476
2020-08-29T14:04:51+00:00,31.3,32.0,205.6,ADAPTIVE,0.244324722222,6.449999999999999
2020-08-29T14:04:55+00:00,31.1,32.0,205.7,ADAPTIVE,0.251314444444,6.4079999999999995
2020-08-29T14:04:59+00:00,31.1,32.0,205.7,ADAPTIVE,0.258309166667,6.4159999999999995
2020-08-29T14:05:03+00:00,31.1,32.0,205.4,ADAPTIVE,0.26528027777799995,6.4079999999999995
2020-08-29T14:05:06+00:00,31.2,32.0,205.6,ADAPTIVE,0.272285277778,6.441
2020-08-29T14:05:10+00:00,31.3,32.0,205.3,ADAPTIVE,0.279259722222,6.449999999999999
2020-08-29T14:05:14+00:00,31.3,32.0,205.6,ADAPTIVE,0.28626055555599994,6.4399999999999995
2020-08-29T14:05:18+00:00,31.3,32.0,205.6,ADAPTIVE,0.293228333333,6.444999999999999
2020-08-29T14:05:22+00:00,31.2,32.0,205.5,ADAPTIVE,0.300230555556,6.425
2020-08-29T14:05:26+00:00,31.2,32.0,205.7,ADAPTIVE,0.307203333333,6.418
2020-08-29T14:05:30+00:00,31.1,32.0,205.6,ADAPTIVE,0.314201944444,6.411
2020-08-29T14:05:34+00:00,31.3,32.0,205.7,ADAPTIVE,0.321169722222,6.443
2020-08-29T14:05:38+00:00,31.3,32.0,205.7,ADAPTIVE,0.32817277777799997,6.446
2020-08-29T14:05:42+00:00,31.2,32.0,205.9,ADAPTIVE,0.335143888889,6.433
2020-08-29T14:05:46+00:00,31.5,32.0,205.6,ADAPTIVE,0.342155277778,6.481
2020-08-29T14:05:50+00:00,31.3,32.0,205.6,ADAPTIVE,0.349159166667,6.452
2020-08-29T14:05:54+00:00,31.3,32.0,205.5,ADAPTIVE,0.356190555556,6.444999999999999
2020-08-29T14:05:58+00:00,31.4,32.0,205.4,ADAPTIVE,0.363191944444,6.46
2020-08-29T14:06:02+00:00,31.4,32.0,205.6,ADAPTIVE,0.370223611111,6.465
2020-08-29T14:06:06+00:00,31.2,32.0,205.5,ADAPTIVE,0.377214166667,6.431
2020-08-29T14:06:10+00:00,31.3,32.0,205.5,ADAPTIVE,0.38421,6.436999999999999
