run_id,call_id,timestamp_utc,provider,model_name,method_name,total_time_s,ttft_s,prompt_tokens,completion_tokens,total_tokens,cost_usd,is_valid_json,schema_valid,json_parse_error,mitre_id_count,stride_category_count,quality_score_rule,prompt_length_chars,response_length_chars,response_snippet,task_success,rl_plan_accepted,rl_reward_before,rl_reward_after,rl_reward_delta,grid_id,episode,step,is_fallback,error_message
0b33650c,88540d94-1e70-4994-95c7-8af7b9bad51b,2026-04-25T21:26:01.212664+00:00,openrouter,anthropic/claude-3.5-haiku,analyze_threats,9.0756,,864,749,1613,0.0036872,True,True,,6,6,1.0,2704,2277,"{
  ""deployments"": [
    {
      ""attack_type"": ""voltage_manipulation"",
      ""target_systems"": [3],
      ""magnitude"": 0.75,
      ""duration"": 30.0,
      ""stealth_level"": 0.8,
      ""priority"": 1,
      ""mitre_technique"": ""T0831"",
      ""stride_category"": ""Information Disclosure"",
      ""rationale"": ""System 3 selected for initial voltage testing""
    },
    {
      ""attack_type"": ""current_injection"",
      ""target_systems"": [5],
      ""magnitude"": 0.6,
      ""duration"": 30.0,
      ""stealth_le",True,True,0.0,2317.710978667212,2317.710979,,,,False,
0b33650c,06ac2b77-ccbe-4b0d-a483-151f6250ce26,2026-04-26T00:04:59.570792+00:00,openrouter,anthropic/claude-3.5-haiku,analyze_threats,9.5603,,976,769,1745,0.0038568,True,True,,6,3,0.8,2722,2331,"{
  ""deployments"": [
    {
      ""attack_type"": ""voltage_manipulation"",
      ""target_systems"": [2],
      ""magnitude"": 0.38,
      ""duration"": 25.0,
      ""stealth_level"": 0.9,
      ""priority"": 1,
      ""mitre_technique"": ""T0831"",
      ""stride_category"": ""Information Disclosure"",
      ""rationale"": ""Rotating from System 3 to untested System 2; preserving original impact profile""
    },
    {
      ""attack_type"": ""current_injection"",
      ""target_systems"": [1],
      ""magnitude"": 0.46,
      ",True,True,2317.710978667212,2507.433564192658,189.722586,,,,False,
0b33650c,55580094-b040-4e29-9314-577a217ea2ce,2026-04-26T02:25:38.880494+00:00,openrouter,anthropic/claude-3.5-haiku,analyze_threats,10.5368,,976,769,1745,0.0038568,True,True,,6,3,0.8,2722,2442,"{
  ""deployments"": [
    {
      ""attack_type"": ""voltage_manipulation"",
      ""target_systems"": [1],
      ""magnitude"": 0.54,
      ""duration"": 25.0,
      ""stealth_level"": 0.9,
      ""priority"": 1,
      ""mitre_technique"": ""T0831"",
      ""stride_category"": ""Information Disclosure"",
      ""rationale"": ""Rotating to untested System 1, maintaining similar parameters from previous successful run""
    },
    {
      ""attack_type"": ""current_injection"",
      ""target_systems"": [3],
      ""magnitude"": 0",True,True,2507.433564192658,2774.8244581880244,267.390894,,,,False,
0b33650c,04fc12fe-f6b6-4da6-94ef-c3fc6511b465,2026-04-26T04:22:20.032044+00:00,openrouter,anthropic/claude-3.5-haiku,analyze_threats,9.8666,,975,761,1736,0.003824,True,True,,6,3,0.8,2725,2380,"{
  ""deployments"": [
    {
      ""attack_type"": ""voltage_manipulation"",
      ""target_systems"": [4],
      ""magnitude"": 0.55,
      ""duration"": 30.0,
      ""stealth_level"": 0.6,
      ""priority"": 1,
      ""mitre_technique"": ""T0831"",
      ""stride_category"": ""Information Disclosure"",
      ""rationale"": ""Rotating to untested System 4, slightly adjusted magnitude based on previous success""
    },
    {
      ""attack_type"": ""current_injection"",
      ""target_systems"": [6],
      ""magnitude"": 0.55,
 ",True,True,2774.8244581880244,2757.849236597043,-16.975222,,,,False,
0b33650c,d02e444a-8c1c-413d-b828-facbe95bea77,2026-04-26T06:02:58.904783+00:00,openrouter,anthropic/claude-3.5-haiku,analyze_threats,10.1733,,975,750,1725,0.00378,True,True,,6,3,0.8,2725,2275,"{
  ""deployments"": [
    {
      ""attack_type"": ""voltage_manipulation"", 
      ""target_systems"": [5],
      ""magnitude"": 0.62,
      ""duration"": 30.0,
      ""stealth_level"": 0.9,
      ""priority"": 1,
      ""mitre_technique"": ""T0831"",
      ""stride_category"": ""Information Disclosure"", 
      ""rationale"": ""Rotate to untested System 5, maintain previous high-impact parameters""
    },
    {
      ""attack_type"": ""current_injection"",
      ""target_systems"": [4], 
      ""magnitude"": 0.52,
      ""durati",True,True,2757.849236597043,2924.1876240354914,166.338387,,,,False,
0b33650c,5c5f58bf-1dc1-4d33-8c5c-b95dcdb2fc34,2026-04-26T07:39:25.332956+00:00,openrouter,anthropic/claude-3.5-haiku,analyze_threats,9.5408,,975,740,1715,0.00374,True,True,,6,3,0.8,2725,2261,"{
  ""deployments"": [
    {
      ""attack_type"": ""voltage_manipulation"",
      ""target_systems"": [6],
      ""magnitude"": 0.37,
      ""duration"": 25.0,
      ""stealth_level"": 0.9,
      ""priority"": 1,
      ""mitre_technique"": ""T0831"",
      ""stride_category"": ""Information Disclosure"",
      ""rationale"": ""Targeting previously untested System 6 to complete coverage""
    },
    {
      ""attack_type"": ""current_injection"",
      ""target_systems"": [2],
      ""magnitude"": 0.88,
      ""duration"": 35.0,
  ",True,True,2924.1876240354914,2195.064280219094,-729.123344,,,,False,
0b33650c,e4b537a0-9279-4340-ac36-14aec03db01a,2026-04-26T09:20:56.044048+00:00,openrouter,anthropic/claude-3.5-haiku,analyze_threats,11.0752,,2950,671,3621,0.005044,True,False,,0,1,0.0667,8082,2074,"{
  ""ordered_attacks"": [
    {
      ""attack_type"": ""communication_spoofing"",
      ""target_system"": 3,
      ""override_rl_target"": false,
      ""magnitude"": 0.2967272996902466,
      ""duration"": 7.145749092102051,
      ""stealth_level"": 0.9600775241851807,
      ""timing_rationale"": ""Initial low-profile attack to create initial network confusion and reduce detection probability""
    },
    {
      ""attack_type"": ""voltage_manipulation"", 
      ""target_system"": 2,
      ""override_rl_target"": false",,,,,,,,,False,
0b33650c,6e25754a-1d2c-464d-9f31-c14bb8f0a656,2026-04-26T15:54:19.024900+00:00,openrouter,anthropic/claude-3.5-haiku,analyze_threats,9.2638,,864,760,1624,0.0037312,True,True,,6,6,1.0,2704,2303,"{
  ""deployments"": [
    {
      ""attack_type"": ""voltage_manipulation"",
      ""target_systems"": [3],
      ""magnitude"": 0.75,
      ""duration"": 30.0,
      ""stealth_level"": 0.8,
      ""priority"": 1,
      ""mitre_technique"": ""T0831"",
      ""stride_category"": ""Information Disclosure"",
      ""rationale"": ""System 3 selected for initial voltage testing with balanced stealth and intensity""
    },
    {
      ""attack_type"": ""current_injection"",
      ""target_systems"": [5],
      ""magnitude"": 0.6,
     ",True,True,0.0,2227.122461941566,2227.122462,,,,False,
0b33650c,38eef5a5-12b0-4924-a1dd-1ce81bf886c4,2026-04-26T15:54:33.711860+00:00,openrouter,anthropic/claude-3.5-haiku,analyze_threats,9.7053,,864,752,1616,0.0036992,True,True,,6,6,1.0,2704,2278,"{
  ""deployments"": [
    {
      ""attack_type"": ""voltage_manipulation"",
      ""target_systems"": [3],
      ""magnitude"": 0.75,
      ""duration"": 30.0,
      ""stealth_level"": 0.8,
      ""priority"": 1,
      ""mitre_technique"": ""T0831"",
      ""stride_category"": ""Information Disclosure"",
      ""rationale"": ""System 3 selected for initial voltage testing""
    },
    {
      ""attack_type"": ""current_injection"", 
      ""target_systems"": [5],
      ""magnitude"": 0.6,
      ""duration"": 45.0,
      ""stealth_l",True,True,2227.122461941566,2285.8103910327372,58.687929,,,,False,
0b33650c,f980d1bf-8c78-4a54-ac21-802642fad50f,2026-04-26T15:54:48.831632+00:00,openrouter,anthropic/claude-3.5-haiku,analyze_threats,10.5762,,864,750,1614,0.0036912,True,True,,6,6,1.0,2704,2268,"{
  ""deployments"": [
    {
      ""attack_type"": ""voltage_manipulation"",
      ""target_systems"": [3],
      ""magnitude"": 0.75,
      ""duration"": 30.0,
      ""stealth_level"": 0.8,
      ""priority"": 1,
      ""mitre_technique"": ""T0831"",
      ""stride_category"": ""Information Disclosure"",
      ""rationale"": ""System 3 selected for initial voltage testing with moderate intensity""
    },
    {
      ""attack_type"": ""current_injection"", 
      ""target_systems"": [5],
      ""magnitude"": 0.6,
      ""duration""",True,True,2285.8103910327372,2225.259905964138,-60.550485,,,,False,
